iter	Passed	Remaining
0	143	71368
1	172	42890
2	199	32971
3	221	27409
4	242	23993
5	270	22291
6	297	20927
7	317	19517
8	335	18309
9	353	17307
10	371	16530
11	391	15916
12	408	15298
13	425	14761
14	442	14299
15	464	14054
16	493	14015
17	512	13712
18	532	13470
19	550	13203
20	568	12976
21	585	12721
22	602	12504
23	620	12300
24	638	12132
25	655	11950
26	672	11783
27	691	11653
28	712	11579
29	730	11437
30	746	11299
31	762	11157
32	779	11032
33	796	10922
34	813	10808
35	830	10704
36	847	10602
37	864	10513
38	897	10612
39	914	10520
40	933	10454
41	953	10400
42	971	10321
43	989	10254
44	1007	10189
45	1024	10109
46	1046	10082
47	1062	10005
48	1079	9934
49	1096	9871
50	1114	9808
51	1131	9749
52	1149	9696
53	1166	9632
54	1181	9563
55	1197	9498
56	1213	9434
57	1229	9368
58	1249	9339
59	1265	9276
60	1281	9220
61	1297	9164
62	1314	9115
63	1330	9060
64	1346	9012
65	1362	8956
66	1382	8934
67	1397	8881
68	1413	8826
69	1428	8773
70	1444	8728
71	1460	8680
72	1478	8647
73	1494	8602
74	1511	8563
75	1529	8534
76	1545	8487
77	1560	8442
78	1576	8402
79	1592	8362
80	1608	8320
81	1624	8282
82	1650	8292
83	1670	8272
84	1712	8359
85	1742	8386
86	1758	8347
87	1777	8324
88	1796	8298
89	1811	8254
90	1832	8234
91	1846	8187
92	1859	8139
93	1874	8097
94	1890	8061
95	1904	8013
96	1918	7968
97	1936	7942
98	1950	7900
99	1965	7862
100	1985	7844
101	2001	7809
102	2018	7778
103	2035	7751
104	2050	7713
105	2065	7676
106	2080	7641
107	2094	7603
108	2109	7565
109	2122	7525
110	2146	7521
111	2164	7498
112	2188	7495
113	2233	7562
114	2255	7551
115	2272	7524
116	2291	7501
117	2306	7465
118	2320	7428
119	2335	7395
120	2349	7359
121	2363	7323
122	2380	7297
123	2395	7263
124	2410	7230
125	2424	7197
126	2440	7166
127	2454	7134
128	2471	7107
129	2488	7081
130	2502	7050
131	2517	7018
132	2533	6989
133	2546	6955
134	2560	6923
135	2577	6898
136	2590	6865
137	2604	6832
138	2618	6801
139	2634	6773
140	2648	6742
141	2661	6710
142	2675	6678
143	2688	6647
144	2702	6615
145	2715	6584
146	2729	6554
147	2743	6524
148	2756	6493
149	2771	6467
150	2784	6436
151	2797	6405
152	2811	6375
153	2824	6347
154	2838	6318
155	2852	6290
156	2865	6260
157	2878	6231
158	2891	6200
159	2906	6177
160	2920	6149
161	2934	6121
162	2948	6096
163	2961	6068
164	2978	6046
165	2992	6021
166	3006	5994
167	3021	5970
168	3036	5946
169	3051	5923
170	3068	5904
171	3084	5881
172	3098	5856
173	3114	5834
174	3129	5812
175	3145	5789
176	3160	5766
177	3175	5744
178	3189	5719
179	3203	5694
180	3217	5670
181	3231	5646
182	3245	5621
183	3258	5596
184	3271	5571
185	3285	5546
186	3299	5522
187	3312	5496
188	3325	5471
189	3339	5447
190	3352	5423
191	3365	5398
192	3378	5373
193	3391	5349
194	3404	5324
195	3419	5303
196	3430	5276
197	3443	5252
198	3456	5228
199	3469	5203
200	3481	5179
201	3496	5157
202	3508	5133
203	3522	5110
204	3535	5087
205	3548	5065
206	3561	5041
207	3574	5018
208	3587	4994
209	3599	4970
210	3613	4948
211	3626	4926
212	3641	4905
213	3654	4884
214	3667	4861
215	3680	4839
216	3698	4823
217	3725	4819
218	3815	4895
219	3870	4926
220	3893	4915
221	3912	4899
222	3925	4875
223	3937	4851
224	3949	4827
225	3960	4802
226	3972	4777
227	3986	4756
228	4000	4733
229	4013	4711
230	4027	4690
231	4040	4667
232	4054	4645
233	4067	4623
234	4079	4600
235	4091	4577
236	4103	4553
237	4114	4528
238	4125	4505
239	4139	4484
240	4154	4465
241	4168	4444
242	4181	4422
243	4197	4403
244	4209	4381
245	4221	4358
246	4233	4336
247	4245	4313
248	4257	4291
249	4268	4268
250	4280	4246
251	4292	4224
252	4303	4201
253	4315	4179
254	4328	4158
255	4342	4139
256	4356	4119
257	4370	4099
258	4384	4079
259	4399	4061
260	4413	4041
261	4428	4022
262	4442	4003
263	4455	3983
264	4467	3961
265	4484	3944
266	4498	3925
267	4520	3913
268	4554	3911
269	4596	3915
270	4611	3896
271	4627	3878
272	4639	3857
273	4652	3837
274	4667	3818
275	4679	3798
276	4691	3777
277	4704	3756
278	4716	3735
279	4727	3714
280	4739	3693
281	4751	3672
282	4762	3651
283	4774	3631
284	4789	3613
285	4801	3592
286	4811	3571
287	4823	3550
288	4834	3529
289	4845	3509
290	4859	3490
291	4870	3469
292	4883	3449
293	4895	3430
294	4907	3410
295	4921	3392
296	4933	3372
297	4945	3352
298	4956	3332
299	4971	3314
300	4984	3295
301	4996	3275
302	5009	3257
303	5021	3237
304	5033	3217
305	5048	3200
306	5061	3182
307	5072	3162
308	5085	3143
309	5097	3124
310	5110	3105
311	5124	3088
312	5138	3070
313	5150	3051
314	5162	3032
315	5175	3013
316	5189	2995
317	5203	2978
318	5217	2960
319	5231	2942
320	5244	2924
321	5257	2906
322	5270	2887
323	5284	2870
324	5298	2853
325	5310	2834
326	5325	2817
327	5336	2798
328	5351	2781
329	5364	2763
330	5377	2745
331	5390	2727
332	5402	2709
333	5416	2691
334	5428	2673
335	5440	2655
336	5452	2637
337	5467	2620
338	5482	2603
339	5495	2586
340	5507	2567
341	5524	2552
342	5539	2535
343	5551	2517
344	5566	2500
345	5579	2483
346	5589	2464
347	5601	2446
348	5613	2428
349	5626	2411
350	5640	2394
351	5652	2376
352	5666	2359
353	5679	2342
354	5692	2325
355	5705	2307
356	5718	2290
357	5730	2273
358	5743	2255
359	5754	2237
360	5767	2220
361	5778	2202
362	5789	2184
363	5800	2167
364	5811	2149
365	5826	2133
366	5838	2115
367	5849	2098
368	5860	2080
369	5872	2063
370	5889	2047
371	5901	2030
372	5914	2013
373	5926	1996
374	5938	1979
375	5952	1962
376	5965	1946
377	5977	1929
378	5989	1912
379	6001	1895
380	6012	1877
381	6024	1860
382	6036	1843
383	6047	1826
384	6058	1809
385	6070	1792
386	6082	1775
387	6095	1759
388	6107	1742
389	6120	1726
390	6132	1709
391	6143	1692
392	6154	1675
393	6165	1658
394	6181	1643
395	6199	1628
396	6211	1611
397	6224	1595
398	6238	1579
399	6253	1563
400	6266	1547
401	6280	1531
402	6291	1514
403	6303	1497
404	6315	1481
405	6326	1464
406	6337	1448
407	6352	1432
408	6363	1415
409	6374	1399
410	6386	1382
411	6398	1366
412	6410	1350
413	6422	1334
414	6433	1317
415	6446	1301
416	6459	1285
417	6472	1269
418	6488	1254
419	6503	1238
420	6516	1222
421	6529	1206
422	6542	1190
423	6553	1174
424	6564	1158
425	6580	1143
426	6592	1127
427	6604	1110
428	6617	1095
429	6629	1079
430	6639	1063
431	6650	1046
432	6662	1030
433	6674	1015
434	6687	999
435	6700	983
