age,education,marital-status,occupation,race,sex,hours-per-week,native-country,income
39,Bachelors,Never-married,Adm-clerical,1,0,40,1,0
50,Bachelors,Married-civ-spouse,Exec-managerial,1,0,13,1,0
38,HS-grad,Divorced,Handlers-cleaners,1,0,40,1,0
53,11th,Married-civ-spouse,Handlers-cleaners,2,0,40,1,0
28,Bachelors,Married-civ-spouse,Prof-specialty,2,1,40,0,0
37,Masters,Married-civ-spouse,Exec-managerial,1,1,40,1,0
49,9th,Married-spouse-absent,Other-service,2,1,16,0,0
52,HS-grad,Married-civ-spouse,Exec-managerial,1,0,45,1,1
31,Masters,Never-married,Prof-specialty,1,1,50,1,1
42,Bachelors,Married-civ-spouse,Exec-managerial,1,0,40,1,1
37,Some-college,Married-civ-spouse,Exec-managerial,2,0,80,1,1
30,Bachelors,Married-civ-spouse,Prof-specialty,3,0,40,0,1
23,Bachelors,Never-married,Adm-clerical,1,1,30,1,0
32,Assoc-acdm,Never-married,Sales,2,0,50,1,0
40,Assoc-voc,Married-civ-spouse,Craft-repair,3,0,40,0,1
34,7th-8th,Married-civ-spouse,Transport-moving,3,0,45,0,0
25,HS-grad,Never-married,Farming-fishing,1,0,35,1,0
32,HS-grad,Never-married,Machine-op-inspct,1,0,40,1,0
38,11th,Married-civ-spouse,Sales,1,0,50,1,0
43,Masters,Divorced,Exec-managerial,1,1,45,1,1
40,Doctorate,Married-civ-spouse,Prof-specialty,1,0,60,1,1
54,HS-grad,Separated,Other-service,2,1,20,1,0
35,9th,Married-civ-spouse,Farming-fishing,2,0,40,1,0
43,11th,Married-civ-spouse,Transport-moving,1,0,40,1,0
59,HS-grad,Divorced,Tech-support,1,1,40,1,0
56,Bachelors,Married-civ-spouse,Tech-support,1,0,40,1,1
19,HS-grad,Never-married,Craft-repair,1,0,40,1,0
54,Some-college,Married-civ-spouse,?,3,0,60,0,1
39,HS-grad,Divorced,Exec-managerial,1,0,80,1,0
49,HS-grad,Married-civ-spouse,Craft-repair,1,0,40,1,0
23,Assoc-acdm,Never-married,Protective-serv,1,0,52,1,0
20,Some-college,Never-married,Sales,2,0,44,1,0
45,Bachelors,Divorced,Exec-managerial,1,0,40,1,0
30,Some-college,Married-civ-spouse,Adm-clerical,1,0,40,1,0
22,Some-college,Married-civ-spouse,Other-service,2,0,15,1,0
48,11th,Never-married,Machine-op-inspct,1,0,40,0,0
21,Some-college,Never-married,Machine-op-inspct,1,0,40,1,0
19,HS-grad,Married-AF-spouse,Adm-clerical,1,1,25,1,0
31,Some-college,Married-civ-spouse,Sales,1,0,38,0,1
48,Assoc-acdm,Married-civ-spouse,Prof-specialty,1,0,40,1,0
31,9th,Married-civ-spouse,Machine-op-inspct,1,0,43,1,0
53,Bachelors,Married-civ-spouse,Prof-specialty,1,0,40,1,0
24,Bachelors,Married-civ-spouse,Tech-support,1,0,50,1,0
49,HS-grad,Separated,Adm-clerical,1,1,40,1,0
25,HS-grad,Never-married,Handlers-cleaners,1,0,35,1,0
57,Bachelors,Married-civ-spouse,Prof-specialty,2,0,40,1,1
53,HS-grad,Married-civ-spouse,Machine-op-inspct,1,0,38,1,0
44,Masters,Divorced,Exec-managerial,1,1,40,1,0
41,Assoc-voc,Married-civ-spouse,Craft-repair,1,0,40,1,0
29,Assoc-voc,Never-married,Prof-specialty,1,0,43,1,0
25,Some-college,Married-civ-spouse,Exec-managerial,3,1,40,1,0
18,HS-grad,Never-married,Other-service,1,1,30,0,0
47,Prof-school,Married-civ-spouse,Prof-specialty,1,1,60,0,1
50,Bachelors,Divorced,Exec-managerial,1,0,55,1,1
47,HS-grad,Divorced,Exec-managerial,1,0,60,1,0
43,Some-college,Married-civ-spouse,Tech-support,1,0,40,1,1
46,5th-6th,Married-civ-spouse,Machine-op-inspct,1,0,40,0,0
35,Assoc-voc,Married-civ-spouse,Other-service,1,0,40,0,0
41,HS-grad,Married-civ-spouse,Adm-clerical,1,0,48,1,0
30,HS-grad,Married-civ-spouse,Machine-op-inspct,1,0,40,1,0
30,Bachelors,Married-civ-spouse,Sales,1,0,40,1,0
32,7th-8th,Married-spouse-absent,?,1,0,40,0,0
48,HS-grad,Married-civ-spouse,Transport-moving,1,0,40,1,0
42,Doctorate,Married-civ-spouse,Prof-specialty,1,0,45,1,1
29,Some-college,Divorced,Tech-support,1,0,58,1,0
36,HS-grad,Married-civ-spouse,Craft-repair,1,0,40,1,0
28,Some-college,Divorced,Adm-clerical,1,1,40,1,0
53,HS-grad,Married-civ-spouse,Adm-clerical,1,1,40,1,1
49,Some-college,Married-civ-spouse,Exec-managerial,1,0,50,1,1
25,Some-college,Never-married,?,1,0,40,1,0
19,Some-college,Never-married,Prof-specialty,1,0,32,1,0
31,Bachelors,Separated,Sales,2,1,40,1,0
29,Bachelors,Married-civ-spouse,Sales,1,0,70,1,1
23,Some-college,Never-married,Machine-op-inspct,1,0,40,1,0
